filename,LOC,Cyclomatic Complexity,Halstead Volume,Maintainability Index
s502975646.py,30,0,51.89,55.78
s768869070.py,25,0,79.95,60.87
s026819973.py,12,0,4.75,72.64
s053858745.py,19,0,15.51,65.99
s101832115.py,13,0,28.53,63.9
s122031066.py,18,0,15.51,63.47
s499230592.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s622118840.py,22,4.0,2.0,91.37
s834280627.py,23,0,15.51,89.34
s887553584.py,12,0,15.51,67.45
s919326051.py,15,0,15.51,66.69
s962355030.py,5,0,4.75,79.34
s004058109.py,17,0,199.04,56.77
s044640970.py,20,0,283.63,53.32
s225744325.py,32,0,395.41,48.36
s241547485.py,17,0,286.62,56.31
s267279002.py,19,0,383.37,52.27
s369128079.py,13,0,351.03,52.27
s585167686.py,21,0,564.73,49.47
s766976173.py,22,0,348.79,50.9
s779449621.py,23,0,340.0,50.97
s839935249.py,22,0,200.67,52.98
s104778345.py,22,0,214.05,53.19
s108659156.py,10,0,107.31,62.12
s166845896.py,12,0,152.0,60.93
s201307593.py,12,0,140.65,61.03
s212920527.py,12,0,155.59,60.03
s493019358.py,5,0,96.79,68.04
s522654076.py,12,0,144.0,62.13
s582875838.py,10,0,89.86,63.7
s603658843.py,23,0,159.41,53.26
s942201556.py,21,0,283.63,69.96
s186783952.py,12,0,11.61,69.42
s214129181.py,13,0,4.75,72.64
s242890011.py,23,0,120.0,56.71
s267904831.py,8,0,27.0,69.87
s305140466.py,16,0,39.86,62.6
s335857805.py,13,0,4.75,73.64
s358502222.py,14,0,66.61,63.71
s881337270.py,22,0,13.93,63.8
s937208914.py,27,0,28.53,60.84
s969896239.py,17,0,49.83,59.79
s370142383.py,13,0,15.51,67.87
s370902130.py,32,0,43.02,67.55
s371139050.py,14,0,27.0,65.36
s371862950.py,11,0,27.0,67.09
s373821703.py,16,0,28.53,64.57
s374238291.py,22,0,28.53,60.97
s374401199.py,24,0,15.51,80.16
s375411346.py,13,0,43.02,62.92
s577435334.py,9,0,13.93,70.1
s917320683.py,29,0,50.19,56.91
s011003325.py,3,0,0,100.0
s175165176.py,4,0,0,100.0
s287029907.py,8,0,55.35,67.56
s368269430.py,9,0,12.0,71.09
s387158249.py,11,0,106.2,62.56
s421803874.py,10,0,20.9,68.4
s450230277.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s471959790.py,7,0,4.75,79.61
s533043318.py,8,0,0,100.0
s962118174.py,8,0,0,100.0
s031239153.py,8,0,4.75,75.16
s034556025.py,7,0,15.51,71.43
s101840147.py,4,0,4.75,79.61
s147946678.py,6,0,4.75,79.47
s219792778.py,13,2.0,53.77,81.73
s249858243.py,5,0,4.75,79.47
s309823221.py,26,4.0,51.89,86.13
s368208835.py,6,0,4.75,77.88
s951772590.py,8,0,15.51,71.43
s999569353.py,7,0,4.75,76.29
s040490758.py,9,0,25.27,68.83
s072858629.py,6,0,12.0,73.47
s075107473.py,19,0,101.95,78.28
s194859009.py,17,0,43.02,63.32
s516362397.py,16,0,117.62,58.91
s531603545.py,18,0,25.27,64.37
s667967673.py,17,0,0,100.0
s701623370.py,3,0,0,100.0
s824961563.py,15,0,38.04,62.47
s828189570.py,8,0,13.93,74.75
s002223862.py,9,0,24.0,71.63
s051392851.py,8,0,15.51,74.42
s068896053.py,22,0,33.69,62.5
s102528889.py,5,0,22.46,71.83
s242715854.py,7,0,12.0,73.74
s310753047.py,3,0,15.51,80.99
s871170661.py,8,0,13.93,73.29
s894027058.py,8,0,13.93,72.02
s946875575.py,7,0,13.93,73.29
s961867738.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s021883501.py,15,0,39.86,63.12
s171484205.py,9,0,15.51,70.44
s250120618.py,19,0,39.86,86.79
s281043426.py,27,0,27.0,94.35
s430407919.py,8,0,15.51,71.69
s514309499.py,22,0,38.04,60.23
s570268714.py,14,0,39.86,64.58
s679999662.py,10,0,15.51,71.56
s739642733.py,9,0,15.51,71.56
s797633534.py,8,0,15.51,71.56
s006150245.py,9,0,15.51,69.18
s017269283.py,12,0,15.51,69.31
s023907632.py,13,0,4.75,70.91
s046097791.py,9,0,15.51,69.31
s116264666.py,12,0,15.51,83.16
s158685220.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s198495041.py,15,0,25.27,64.64
s226123187.py,14,0,27.0,63.78
s308008730.py,12,0,15.51,96.52
s339041571.py,7,0,15.51,70.31
s103485128.py,19,0,75.28,58.29
s118986297.py,13,0,69.76,62.12
s245865840.py,17,0,69.76,62.12
s259885529.py,29,0,210.83,51.65
s300257469.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s733095895.py,18,0,57.06,62.86
s806369748.py,32,2.5,51.89,88.85
s815371083.py,26,0,77.71,56.25
s934739140.py,13,0,57.06,62.86
s985129517.py,19,0,62.27,87.0
s002476885.py,115,3.12,392.17,67.56
s045509917.py,15,0,143.06,57.39
s081076036.py,28,0,173.92,68.59
s732501656.py,17,0,143.06,55.39
s761395796.py,21,0,60.94,58.31
s798849352.py,15,0,92.0,59.44
s820095650.py,25,0,105.49,55.19
s918657324.py,21,0,89.69,54.16
s965611824.py,12,0,156.08,58.31
s995779739.py,21,1.0,140.55,54.72
